label,cache,contract,threshold,top_k,iou,image_count,reviewed_images,reviewed_image_share,gt,tp,fp,misses,boxes_total,boxes_per_image,recall,miss_rate,precision,baseline_label,delta_recall_vs_baseline,delta_precision_vs_baseline,delta_boxes_vs_baseline
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,10,0.25,1869,1867,0.9989299090422686,27105,6231,9359,20874,15590,8.34135901551632,0.22988378527946873,0.7701162147205313,0.3996792815907633,,,,
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,25,0.25,1869,1867,0.9989299090422686,27105,9971,19595,17134,29566,15.819154628143393,0.3678657074340528,0.6321342925659472,0.33724548467834675,,,,
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,50,0.25,1869,1867,0.9989299090422686,27105,13615,32416,13490,46031,24.6286784376672,0.5023058476295886,0.49769415237041137,0.29577893158958096,,,,
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,100,0.25,1869,1867,0.9989299090422686,27105,17448,52584,9657,70032,37.47030497592295,0.6437188710570005,0.35628112894299946,0.24914324880054833,,,,
aitod_raw960_t0.0075,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,raw960,0.0075,300,0.25,1869,1867,0.9989299090422686,27105,22471,100040,4634,122511,65.54895666131621,0.8290352333517801,0.17096476664821988,0.1834202643027973,,,,
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,10,0.25,1869,1820,0.9737827715355806,27105,6220,3499,20885,9719,5.200107009095773,0.22947795609666113,0.7705220439033389,0.6399835374009671,aitod_raw960_t0.0075,-0.00040582918280759883,0.24030425581020382,-5871.0
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,25,0.25,1869,1820,0.9737827715355806,27105,9951,6759,17154,16710,8.940609951845907,0.3671278361925844,0.6328721638074156,0.5955116696588869,aitod_raw960_t0.0075,-0.0007378712414684019,0.25826618498054016,-12856.0
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,50,0.25,1869,1820,0.9737827715355806,27105,13577,10621,13528,24198,12.947030497592296,0.5009038922707988,0.49909610772920127,0.5610794280519051,aitod_raw960_t0.0075,-0.0014019553587898415,0.2653004964623242,-21833.0
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,100,0.25,1869,1820,0.9737827715355806,27105,17242,15326,9863,32568,17.425361155698234,0.6361187972698764,0.3638812027301236,0.5294153770572341,aitod_raw960_t0.0075,-0.007600073787124129,0.28027212825668574,-37464.0
aitod_nmscap_t0.125,/root/zjh_UAV_detection/experiments/aitod/oracle_route/cache_val_baseline640,nms040_cap300,0.125,300,0.25,1869,1820,0.9737827715355806,27105,21490,22493,5615,43983,23.53290529695024,0.7928426489577569,0.20715735104224312,0.48859786735784283,aitod_raw960_t0.0075,-0.036192584394023175,0.30517760305504554,-78528.0
uavdt_raw960_t0.175,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,raw960,0.175,10,0.25,272,272,1.0,7957,1999,416,5958,2415,8.878676470588236,0.2512253361819781,0.7487746638180218,0.8277432712215321,,,,
uavdt_raw960_t0.175,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,raw960,0.175,25,0.25,272,272,1.0,7957,3901,1011,4056,4912,18.058823529411764,0.4902601482970969,0.5097398517029031,0.7941775244299675,,,,
uavdt_raw960_t0.175,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,raw960,0.175,50,0.25,272,272,1.0,7957,5546,2114,2411,7660,28.16176470588235,0.6969963554103306,0.3030036445896695,0.7240208877284595,,,,
uavdt_raw960_t0.175,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,raw960,0.175,100,0.25,272,272,1.0,7957,6173,2502,1784,8675,31.893382352941178,0.7757948975744627,0.22420510242553726,0.711585014409222,,,,
uavdt_raw960_t0.175,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,raw960,0.175,300,0.25,272,272,1.0,7957,6990,3283,967,10273,37.768382352941174,0.878471785848938,0.12152821415106196,0.6804244135111457,,,,
uavdt_nmscap_t0.125,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,nms040_cap300,0.125,10,0.25,272,272,1.0,7957,2006,506,5951,2512,9.235294117647058,0.2521050647228855,0.7478949352771145,0.7985668789808917,uavdt_raw960_t0.175,0.0008797285409073985,-0.029176392240640392,97.0
uavdt_nmscap_t0.125,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,nms040_cap300,0.125,25,0.25,272,272,1.0,7957,3926,1549,4031,5475,20.128676470588236,0.49340203594319465,0.5065979640568053,0.7170776255707763,uavdt_raw960_t0.175,0.0031418876460977407,-0.07709989885919122,563.0
uavdt_nmscap_t0.125,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,nms040_cap300,0.125,50,0.25,272,272,1.0,7957,5661,3762,2296,9423,34.643382352941174,0.7114490385823803,0.2885509614176197,0.600764087870105,uavdt_raw960_t0.175,0.01445268317204973,-0.12325679985835447,1763.0
uavdt_nmscap_t0.125,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,nms040_cap300,0.125,100,0.25,272,272,1.0,7957,6369,6566,1588,12935,47.55514705882353,0.8004272967198693,0.19957270328013071,0.49238500193274065,uavdt_raw960_t0.175,0.024632399145406603,-0.2192000124764813,4260.0
uavdt_nmscap_t0.125,/root/zjh_UAV_detection/experiments/uavdt/oracle_route/cache_test_baseline640,nms040_cap300,0.125,300,0.25,272,272,1.0,7957,7352,7461,605,14813,54.45955882352941,0.9239663189644338,0.07603368103556617,0.496320799297914,uavdt_raw960_t0.175,0.04549453311549578,-0.18410361421323168,4540.0
visdrone_raw960_t0.175,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,raw960,0.175,10,0.25,548,548,1.0,38759,4824,555,33935,5379,9.815693430656934,0.12446141541319436,0.8755385845868057,0.8968209704406024,,,,
visdrone_raw960_t0.175,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,raw960,0.175,25,0.25,548,548,1.0,38759,10539,2256,28220,12795,23.348540145985403,0.2719110400165123,0.7280889599834877,0.8236811254396249,,,,
visdrone_raw960_t0.175,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,raw960,0.175,50,0.25,548,548,1.0,38759,16493,6953,22266,23446,42.784671532846716,0.425526974380144,0.574473025619856,0.7034462168386931,,,,
visdrone_raw960_t0.175,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,raw960,0.175,100,0.25,548,548,1.0,38759,20932,14779,17827,35711,65.16605839416059,0.5400552129827911,0.4599447870172089,0.5861499257931729,,,,
visdrone_raw960_t0.175,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,raw960,0.175,300,0.25,548,548,1.0,38759,22302,18652,16457,40954,74.73357664233576,0.5754018421527903,0.42459815784720967,0.5445621917273038,,,,
visdrone_nmscap_t0.125,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,nms040_cap300,0.125,10,0.25,548,548,1.0,38759,4862,599,33897,5461,9.965328467153284,0.12544183286462499,0.874558167135375,0.8903131294634682,visdrone_raw960_t0.175,0.0009804174514306263,-0.006507840977134194,82.0
visdrone_nmscap_t0.125,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,nms040_cap300,0.125,25,0.25,548,548,1.0,38759,10799,2465,27960,13264,24.204379562043794,0.2786191594210377,0.7213808405789623,0.814158624849216,visdrone_raw960_t0.175,0.0067081194045254255,-0.009522500590408933,469.0
visdrone_nmscap_t0.125,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,nms040_cap300,0.125,50,0.25,548,548,1.0,38759,17522,7574,21237,25096,45.7956204379562,0.45207564694651564,0.5479243530534843,0.6981989161619382,visdrone_raw960_t0.175,0.026548672566371667,-0.00524730067675494,1650.0
visdrone_nmscap_t0.125,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,nms040_cap300,0.125,100,0.25,548,548,1.0,38759,23862,19874,14897,43736,79.81021897810218,0.6156505585799428,0.3843494414200573,0.5455917322114505,visdrone_raw960_t0.175,0.07559534559715164,-0.04055819358172241,8025.0
visdrone_nmscap_t0.125,/root/zjh_UAV_detection/experiments/visdrone/oracle_route/cache_val_baseline640,nms040_cap300,0.125,300,0.25,548,548,1.0,38759,27285,33337,11474,60622,110.62408759124088,0.7039655305864444,0.29603446941355555,0.450084127874369,visdrone_raw960_t0.175,0.12856368843365407,-0.09447806385293478,19668.0
